
(-3.455096,5.72234,1.043497)
(-3.855096,5.72234,1.043497)
(-2.855096,5.72234,1.543497)
(-2.855096,5.72234,1.043497)
(-3.845652,1.443227,-1.063058)
(-4.245652,1.443227,-1.063058)
(-3.245652,1.443227,-0.5630584)
(-3.245652,1.443227,-1.063058)
(-1.732004,3.252454,-1.608231)
(-2.132004,3.252454,-1.608231)
(-1.132004,3.252454,-1.108231)
(-1.132004,3.252454,-1.608231)
(-1.237784,2.405904,0.05709219)
(-1.637784,2.405904,0.05709219)
(-0.6377835,2.405904,0.5570922)
(-0.6377835,2.405904,0.05709219)
(0.75185,0.8384752,2.879275)
(0.35185,0.8384752,2.879275)
(1.35185,0.8384752,3.379275)
(1.35185,0.8384752,2.879275)
(-0.9181129,4.902381,2.185927)
(-1.318113,4.902381,2.185927)
(-0.2371541,3.978752,0.8201493)
(-0.6371541,3.978752,0.8201493)
(-0.47331,4.355167,2.895561)
(-1.808938,1.71339,1.062025)
(-2.208938,1.71339,1.062025)
(-1.208938,1.71339,1.562025)
(-1.208938,1.71339,1.062025)
(-2.425749,3.503776,0.7379308)
(-2.825749,3.503776,0.7379308)
(-1.825749,3.503776,1.237931)
(-1.825749,3.503776,0.7379308)
(-1.977024,1.638847,0.07458067)
(-2.377024,1.638847,0.07458067)
(-1.377024,1.638847,0.5745807)
(-1.377024,1.638847,0.07458067)
(-2.580256,3.130694,0.4767604)
(-2.980256,3.130694,0.4767604)
(-1.980256,3.130694,0.9767604)
(-1.980256,3.130694,0.4767604)
(-3.20346,0.4226265,-0.03751135)
(-3.60346,0.4226265,-0.03751135)
(-2.60346,0.4226265,0.4624887)
(-2.60346,0.4226265,-0.03751135)
(0.5342625,2.154675,-0.7789073)
(0.1342626,2.154675,-0.7789073)
(1.134263,2.154675,-0.2789073)
(1.134263,2.154675,-0.7789073)
(-3.718576,4.100843,-0.9790769)
(-4.118576,4.100843,-0.9790769)
(-3.118576,4.100843,-0.4790769)
(-3.118576,4.100843,-0.9790769)
(-3.505857,6.021714,1.655721)
(-3.905857,6.021714,1.655721)
(-2.905857,6.021714,1.655721)
(-3.536889,3.985589,1.224281)
(-3.936889,3.985589,1.224281)
(-2.936889,3.985589,1.724281)
(-2.936889,3.985589,1.224281)
(0.9079745,2.29906,3.149362)
(0.5079745,2.29906,3.149362)
(1.507975,2.29906,3.649362)
(1.507975,2.29906,3.149362)
(0.7428349,2.820422,1.350535)
(0.02465963,1.378147,-2.3266)
(1.901546,0.2854929,-1.960528)
(1.501546,0.2854929,-1.960528)
(2.501546,0.2854929,-1.460528)
(2.501546,0.2854929,-1.960528)
(-1.811417,4.056314,-1.186314)
(-2.211417,4.056314,-1.186314)
(-1.211417,4.056314,-0.6863141)
(-1.211417,4.056314,-1.186314)
(-2.479528,0.7151499,2.824338)
(-2.879528,0.7151499,2.824338)
(-1.879528,0.7151499,3.324338)
(-1.879528,0.7151499,2.824338)
(3.161605,0.1291447,2.870087)
(2.761605,0.1291447,2.870087)
(-0.5596973,3.234973,3.595193)
(-0.9596972,3.234973,3.595193)
(0.04030275,3.234973,3.595193)
(2.165411,0.1634502,-1.377004)
(1.76541,0.1634502,-1.377004)
(2.76541,0.1634502,-0.8770041)
