
(1298.5,976.5,1.0)
(1353.5,976.5,1.0)
(1230.5,932.5,1.0)
(1215.5,976.5,1.0)
(1310.5,974.5,1.0)
(1354.5,974.5,1.0)
(1257.5,939.5,1.0)
(1245.5,974.5,1.0)
(1108.5,306.5,1.0)
(1203.5,306.5,1.0)
(974.5,181.5,1.0)
(966.5,306.5,1.0)
(1215.5,610.5,1.0)
(1273.5,610.5,1.0)
(1139.5,548.5,1.0)
(1128.5,610.5,1.0)
(1686.5,606.5,1.0)
(1661.5,652.5,1.0)
(1612.5,858.5,1.0)
(1665.5,858.5,1.0)
(1558.5,811.5,1.0)
(1532.5,858.5,1.0)
(1557.5,612.5,1.0)
(1610.5,612.5,1.0)
(1500.5,554.5,1.0)
(1476.5,612.5,1.0)
(870.5,867.5,1.0)
(921.5,867.5,1.0)
(793.5,823.5,1.0)
(795.5,867.5,1.0)
(1293.5,174.5,1.0)
(1347.5,174.5,1.0)
(1225.5,100.5,1.0)
(1211.5,174.5,1.0)
(1618.5,663.5,1.0)
(1690.5,663.5,1.0)
(1543.5,588.5,1.0)
(1509.5,663.5,1.0)
(1562.5,810.5,1.0)
(1599.5,810.5,1.0)
(1524.5,777.5,1.0)
(1507.5,810.5,1.0)
(1180.5,326.5,1.0)
(1336.5,326.5,1.0)
(958.5,113.5,1.0)
(947.5,326.5,1.0)
(1622.5,449.5,1.0)
(1675.5,449.5,1.0)
(1569.5,386.5,1.0)
(1543.5,449.5,1.0)
(1684.5,218.5,1.0)
(1585.5,555.5,1.0)
(1634.5,555.5,1.0)
(1535.5,501.5,1.0)
(1512.5,555.5,1.0)
(1614.5,464.5,1.0)
(1702.5,464.5,1.0)
(1522.5,358.5,1.0)
(1481.5,464.5,1.0)
(1154.5,834.5,1.0)
(1212.5,834.5,1.0)
(1076.5,781.5,1.0)
(1067.5,834.5,1.0)
(906.5,103.5,1.0)
(987.5,103.5,1.0)
(785.5,103.5,1.0)
(1622.5,497.5,1.0)
(1664.5,497.5,1.0)
(1579.5,449.5,1.0)
(1558.5,497.5,1.0)
(1279.5,678.5,1.0)
(1328.5,678.5,1.0)
(1217.5,628.5,1.0)
(1205.5,678.5,1.0)
(1184.5,860.5,1.0)
(1225.5,860.5,1.0)
(1131.5,824.5,1.0)
(1123.5,860.5,1.0)
(1354.5,487.5,1.0)
(1442.5,487.5,1.0)
(1245.5,383.5,1.0)
(1222.5,487.5,1.0)
(870.5,1014.5,1.0)
(1381.5,167.5,1.0)
(1449.5,167.5,1.0)
(1299.5,71.5,1.0)
(1278.5,167.5,1.0)
(892.5,715.5,1.0)
(931.5,715.5,1.0)
(833.5,676.5,1.0)
(834.5,715.5,1.0)
(1303.5,482.5,1.0)
(1366.5,482.5,1.0)
(1225.5,408.5,1.0)
(1209.5,482.5,1.0)
(1125.5,496.5,1.0)
(1260.5,496.5,1.0)
(929.5,331.5,1.0)
(922.5,496.5,1.0)
(1311.5,790.5,1.0)
(1351.5,790.5,1.0)
(1262.5,752.5,1.0)
(1251.5,790.5,1.0)
(1052.5,652.5,1.0)
(1090.5,652.5,1.0)
(999.5,614.5,1.0)
(995.5,652.5,1.0)
(1682.5,861.5,1.0)
(1647.5,913.5,1.0)
(1663.5,106.5,1.0)
(1634.5,179.5,1.0)
(957.5,161.5,1.0)
(1006.5,161.5,1.0)
(883.5,92.5,1.0)
(882.5,161.5,1.0)
(1690.5,98.5,1.0)
(1570.5,1030.5,1.0)
(1623.5,1030.5,1.0)
(1514.5,989.5,1.0)
(1490.5,1030.5,1.0)
(1058.5,802.5,1.0)
(1098.5,802.5,1.0)
(1003.5,766.5,1.0)
(999.5,802.5,1.0)
(1030.5,600.5,1.0)
(1069.5,600.5,1.0)
(975.5,559.5,1.0)
(972.5,600.5,1.0)
(1131.5,1031.5,1.0)
(1195.5,1031.5,1.0)
(1045.5,982.5,1.0)
(1037.5,1031.5,1.0)
(1666.5,143.5,1.0)
(1633.5,221.5,1.0)
(1043.5,729.5,1.0)
(1079.5,729.5,1.0)
(993.5,694.5,1.0)
(989.5,729.5,1.0)
(1441.5,842.5,1.0)
(1487.5,842.5,1.0)
(1388.5,800.5,1.0)
(1371.5,842.5,1.0)
(1475.5,789.5,1.0)
(1513.5,789.5,1.0)
(1433.5,753.5,1.0)
(1417.5,789.5,1.0)
(1691.5,1006.5,1.0)
(1229.5,548.5,1.0)
(1438.5,548.5,1.0)
(927.5,288.5,1.0)
(917.5,548.5,1.0)
(1470.5,1039.5,1.0)
(1088.5,746.5,1.0)
(1135.5,746.5,1.0)
(1023.5,700.5,1.0)
(1017.5,746.5,1.0)
(1643.5,1038.5,1.0)
(1445.5,886.5,1.0)
(1372.5,1038.5,1.0)
(1218.5,803.5,1.0)
(1252.5,803.5,1.0)
(1174.5,771.5,1.0)
(1167.5,803.5,1.0)
(1419.5,706.5,1.0)
(1476.5,706.5,1.0)
(1353.5,649.5,1.0)
(1333.5,706.5,1.0)
(955.5,828.5,1.0)
(992.5,828.5,1.0)
(900.5,794.5,1.0)
(899.5,828.5,1.0)
(1369.5,653.5,1.0)
(1428.5,653.5,1.0)
(1298.5,591.5,1.0)
(1280.5,653.5,1.0)
(966.5,896.5,1.0)
(1022.5,896.5,1.0)
(883.5,847.5,1.0)
(882.5,896.5,1.0)
(1656.5,556.5,1.0)
(1594.5,487.5,1.0)
(1563.5,556.5,1.0)
(1230.5,1013.5,1.0)
(1675.5,540.5,1.0)
(1644.5,601.5,1.0)
(1438.5,803.5,1.0)
(1487.5,803.5,1.0)
(1381.5,757.5,1.0)
(1364.5,803.5,1.0)
(1403.5,652.5,1.0)
(1456.5,652.5,1.0)
(1342.5,598.5,1.0)
(1324.5,652.5,1.0)
(1614.5,191.5,1.0)
(1691.5,191.5,1.0)
(1534.5,84.5,1.0)
(1498.5,191.5,1.0)
(1354.5,432.5,1.0)
(1517.5,432.5,1.0)
(1141.5,220.5,1.0)
(1109.5,432.5,1.0)
(1052.5,774.5,1.0)
(1102.5,774.5,1.0)
(981.5,726.5,1.0)
(976.5,774.5,1.0)
(1511.5,304.5,1.0)
(1559.5,304.5,1.0)
(1459.5,242.5,1.0)
(1439.5,304.5,1.0)
(1348.5,723.5,1.0)
(1387.5,723.5,1.0)
(1302.5,685.5,1.0)
(1290.5,723.5,1.0)
(1232.5,943.5,1.0)
(1275.5,943.5,1.0)
(1178.5,908.5,1.0)
(1168.5,943.5,1.0)
(964.5,54.5,1.0)
(1030.5,54.5,1.0)
(866.5,54.5,1.0)
(1682.5,547.5,1.0)
(1640.5,499.5,1.0)
(1617.5,547.5,1.0)
(1703.5,392.5,1.0)
(1650.5,500.5,1.0)
(1233.5,631.5,1.0)
(1278.5,631.5,1.0)
(1176.5,584.5,1.0)
(1166.5,631.5,1.0)
(1671.5,691.5,1.0)
(1619.5,638.5,1.0)
(1591.5,691.5,1.0)
(1291.5,537.5,1.0)
(1343.5,537.5,1.0)
(1227.5,479.5,1.0)
(1214.5,537.5,1.0)
(1307.5,850.5,1.0)
(1347.5,850.5,1.0)
(1258.5,814.5,1.0)
(1247.5,850.5,1.0)
(1678.5,409.5,1.0)
(1612.5,326.5,1.0)
(1577.5,409.5,1.0)
(1175.5,975.5,1.0)
(1225.5,975.5,1.0)
(1109.5,935.5,1.0)
(1100.5,975.5,1.0)
(1310.5,683.5,1.0)
(1376.5,683.5,1.0)
(1226.5,614.5,1.0)
(1209.5,683.5,1.0)
(1066.5,828.5,1.0)
(1102.5,828.5,1.0)
(1017.5,795.5,1.0)
(1013.5,828.5,1.0)
(1368.5,804.5,1.0)
(1407.5,804.5,1.0)
(1322.5,768.5,1.0)
(1310.5,804.5,1.0)
(1535.5,397.5,1.0)
(1596.5,397.5,1.0)
(1469.5,322.5,1.0)
(1443.5,397.5,1.0)
(1104.5,1009.5,1.0)
(1205.5,1009.5,1.0)
(959.5,927.5,1.0)
(952.5,1009.5,1.0)
(1297.5,121.5,1.0)
(1351.5,121.5,1.0)
(1229.5,44.5,1.0)
(1215.5,121.5,1.0)
(1248.5,600.5,1.0)
(1319.5,600.5,1.0)
(1157.5,523.5,1.0)
(1142.5,600.5,1.0)
(846.5,1052.5,1.0)
(1449.5,854.5,1.0)
(1524.5,854.5,1.0)
(1363.5,786.5,1.0)
(1337.5,854.5,1.0)
(1390.5,71.5,1.0)
(1459.5,71.5,1.0)
(1288.5,71.5,1.0)
(1079.5,801.5,1.0)
(1117.5,801.5,1.0)
(1028.5,766.5,1.0)
(1023.5,801.5,1.0)
(1491.5,556.5,1.0)
(1543.5,556.5,1.0)
(1434.5,499.5,1.0)
(1413.5,556.5,1.0)
(874.5,735.5,1.0)
(921.5,735.5,1.0)
(803.5,690.5,1.0)
(804.5,735.5,1.0)
(1526.5,824.5,1.0)
(1572.5,824.5,1.0)
(1477.5,782.5,1.0)
(1457.5,824.5,1.0)
